,SVXY,SVXY,SVXY,SVXY,SVXY,SVXY,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2009-07-07,,,,,,,89.70999908447266,89.81999969482422,88.0,88.05999755859375,69.385498046875,197088900
2009-07-08,,,,,,,88.58999633789062,88.80000305175781,87.0,88.0,69.3382797241211,248050500
2009-07-09,,,,,,,88.61000061035156,88.9000015258789,87.91000366210938,88.16999816894531,69.47220611572266,163777600
2009-07-10,,,,,,,87.69999694824219,88.48999786376953,87.3499984741211,87.95999908447266,69.30675506591797,173520300
2009-07-13,,,,,,,88.30999755859375,90.16999816894531,87.58999633789062,90.0999984741211,70.99290466308594,217413500
2009-07-14,,,,,,,90.37999725341797,90.69000244140625,89.7300033569336,90.61000061035156,71.39476776123047,181487400
2009-07-15,,,,,,,91.80999755859375,93.51000213623047,90.68000030517578,93.26000213623047,73.48280334472656,220877900
2009-07-16,,,,,,,93.0,94.51000213623047,92.81999969482422,93.11000061035156,73.36458587646484,231174500
2009-07-17,,,,,,,94.05999755859375,94.31999969482422,93.54000091552734,94.12999725341797,74.1683120727539,138561700
2009-07-20,,,,,,,94.68000030517578,95.29000091552734,94.19000244140625,95.12999725341797,74.95623779296875,164179400
2009-07-21,,,,,,,95.87000274658203,95.9000015258789,94.41999816894531,95.56999969482422,75.30292510986328,217718300
2009-07-22,,,,,,,94.95999908447266,96.12999725341797,94.88999938964844,95.55000305175781,75.28717803955078,196068100
